name_en,name_he,name_ru
World Cup 2026,מונדיאל 2026,Чемпионат мира 2026
UCL,ליגת האלופות,Лига чемпионов
EPL,הפרמייר ליג,Премьер-лига
La Liga,לה ליגה,Ла Лига
Serie A,סרייה A,Серия А
Bundesliga,הבונדסליגה,Бундеслига
Israeli Premier League,ליגת העל,Лига ха-Аль
Liga Leumit,ליגה לאומית,Лига Леумит
Brazil,ברזיל,Бразилия
Argentina,ארגנטינה,Аргентина
France,צרפת,Франция
England,אנגליה,Англия
Spain,ספרד,Испания
Germany,גרמניה,Германия
Portugal,פורטוגל,Португалия
Netherlands,הולנד,Нидерланды
Belgium,בלגיה,Бельгия
Croatia,קרואטיה,Хорватия
Uruguay,אורוגוואי,Уругвай
Colombia,קולומביה,Колумбия
Mexico,מקסיקו,Мексика
USA,"ארה""ב",США
Canada,קנדה,Канада
Japan,יפן,Япония
South Korea,דרום קוריאה,Южная Корея
Morocco,מרוקו,Марокко
Senegal,סנגל,Сенегал
Ghana,גאנה,Гана
Egypt,מצרים,Египет
Tunisia,תוניסיה,Тунис
Algeria,אלג'יריה,Алжир
Ivory Coast,חוף השנהב,Кот-д'Ивуар
Australia,אוסטרליה,Австралия
Iran,איראן,Иран
Saudi Arabia,ערב הסעודית,Саудовская Аравия
Qatar,קטאר,Катар
Ecuador,אקוודור,Эквадор
Switzerland,שווייץ,Швейцария
Sweden,שוודיה,Швеция
Uzbekistan,אוזבקיסטן,Узбекистан
Jordan,ירדן,Иордания
Iraq,עיראק,Ирак
Cape Verde,קייפ ורדה,Кабо-Верде
South Africa,דרום אפריקה,ЮАР
DR Congo,קונגו הדמוקרטית,ДР Конго
Panama,פנמה,Панама
Curacao,קוראסאו,Кюрасао
Haiti,האיטי,Гаити
Paraguay,פרגוואי,Парагвай
New Zealand,ניו זילנד,Новая Зеландия
Norway,נורווגיה,Норвегия
Scotland,סקוטלנד,Шотландия
Austria,אוסטריה,Австрия
Bosnia and Herzegovina,בוסניה והרצגובינה,Босния и Герцеговина
Turkey,טורקיה,Турция
Czech Republic,צ'כיה,Чехия
Real Madrid,ריאל מדריד,Реал Мадрид
Manchester City,מנצ'סטר סיטי,Манчестер Сити
Bayern Munich,באיירן מינכן,Бавария
Barcelona,ברצלונה,Барселона
Liverpool,ליברפול,Ливерпуль
Paris Saint-Germain,פריז סן ז'רמן,Пари Сен-Жермен
Inter Milan,אינטר מילאנו,Интернационале
Juventus,יובנטוס,Ювентус
Manchester United,מנצ'סטר יונייטד,Манчестер Юнайтед
Chelsea,צ'לסי,Челси
Arsenal,ארסנל,Арсенал
AC Milan,מילאן,Милан
Atlético Madrid,אתלטיקו מדריד,Атлетико Мадрид
Borussia Dortmund,בורוסיה דורטמונד,Боруссия Дортмунд
Napoli,נאפולי,Наполи
Porto,פורטו,Порту
Benfica,בנפיקה,Бенфика
Ajax,אייאקס,Аякс
Aston Villa,אסטון וילה,Астон Вилла
Bournemouth,בורנמות',Борнмут
Brentford,ברנטפורד,Брентфорд
Brighton & Hove Albion,ברייטון אנד הוב אלביון,Брайтон энд Хоув Альбион
Crystal Palace,קריסטל פאלאס,Кристал Пэлас
Everton,אברטון,Эвертон
Fulham,פולהאם,Фулхэм
Ipswich Town,איפסוויץ' טאון,Ипсвич Таун
Leicester City,לסטר סיטי,Лестер Сити
Newcastle United,ניוקאסל יונייטד,Ньюкасл Юнайтед
Nottingham Forest,נוטינגהאם פורסט,Ноттингем Форест
Southampton,סאות'המפטון,Саутгемптон
Tottenham Hotspur,טוטנהאם הוטספר,Тоттенхэм Хотспур
West Ham United,ווסט האם יונייטד,Вест Хэм Юнайтед
Wolverhampton Wanderers,וולברהמפטון וונדררס,Вулверхэмптон Уондерерс
Athletic Bilbao,אתלטיק בילבאו,Атлетик Бильбао
Real Sociedad,ריאל סוסיאדד,Реал Сосьедад
Real Betis,ריאל בטיס,Реал Бетис
Villarreal,ויאריאל,Вильярреал
Valencia,ולנסיה,Валенсия
Sevilla,סביליה,Севилья
Girona,ז'ירונה,Жирона
Osasuna,אוססונה,Осасуна
Celta Vigo,סלטה ויגו,Сельта
Rayo Vallecano,ראיו ואייקאנו,Райо Вальекано
Getafe,חטאפה,Хетафе
Las Palmas,לאס פלמאס,Лас-Пальмас
Alavés,אלאבס,Алавес
Espanyol,אספניול,Эспаньол
Leganes,לגאנס,Леганес
Mallorca,מיורקה,Мальорка
Valladolid,ויאדוליד,Вальядолид
Roma,רומא,Рома
Lazio,לאציו,Лацио
Atalanta,אטלנטה,Аталанта
Fiorentina,פיורנטינה,Фиорентина
Bologna,בולוניה,Болонья
Torino,טורינו,Торино
Udinese,אודינזה,Удинезе
Genoa,ג'נואה,Дженоа
Cagliari,קליארי,Кальяри
Verona,ורונה,Верона
Lecce,לצ'ה,Лечче
Parma,פארמה,Парма
Como,קומו,Комо
